SampleName,FileName,line,resistance,timepoint
IDT0326,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0326/abundance.tsv,198_5/1,res,0h
IDT0338,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0338/abundance.tsv,198_5/1,res,0h
IDT0315,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0315/abundance.tsv,198_5/6,sus,0h
IDT0366,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0366/abundance.tsv,198_5/6,sus,0h
IDT0373,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0373/abundance.tsv,198_5/6,sus,0h
IDT0303,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0303/abundance.tsv,262_1/3,sus,0h
IDT0325,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0325/abundance.tsv,262_1/3,sus,0h
IDT0330,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0330/abundance.tsv,262_1/3,sus,0h
IDT0290,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0290/abundance.tsv,262_1/8,res,0h
IDT0354,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0354/abundance.tsv,262_1/8,res,0h
IDT0361,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0361/abundance.tsv,262_1/8,res,0h
IDT0292,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0292/abundance.tsv,198_5/1,res,6h
IDT0329,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0329/abundance.tsv,198_5/1,res,6h
IDT0331,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0331/abundance.tsv,198_5/1,res,6h
IDT0317,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0317/abundance.tsv,198_5/6,sus,6h
IDT0340,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0340/abundance.tsv,198_5/6,sus,6h
IDT0379,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0379/abundance.tsv,198_5/6,sus,6h
IDT0296,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0296/abundance.tsv,262_1/3,sus,6h
IDT0352,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0352/abundance.tsv,262_1/3,sus,6h
IDT0364,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0364/abundance.tsv,262_1/3,sus,6h
IDT0308,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0308/abundance.tsv,262_1/8,res,6h
IDT0365,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0365/abundance.tsv,262_1/8,res,6h
IDT0376,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0376/abundance.tsv,262_1/8,res,6h
IDT0301,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0301/abundance.tsv,198_5/1,res,12h
IDT0306,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0306/abundance.tsv,198_5/1,res,12h
IDT0327,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0327/abundance.tsv,198_5/1,res,12h
IDT0302,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0302/abundance.tsv,198_5/6,sus,12h
IDT0375,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0375/abundance.tsv,198_5/6,sus,12h
IDT0378,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0378/abundance.tsv,198_5/6,sus,12h
IDT0319,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0319/abundance.tsv,262_1/3,sus,12h
IDT0339,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0339/abundance.tsv,262_1/3,sus,12h
IDT0374,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0374/abundance.tsv,262_1/3,sus,12h
IDT0295,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0295/abundance.tsv,262_1/8,res,12h
IDT0314,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0314/abundance.tsv,262_1/8,res,12h
