"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00013000",86.283333232197,1.20194393258388,0.354232692324519,3.39309148654963,0.000691085530501622,0.0218186188600596,"chr1A","AVESA.00003a.r1.1AG00013000.1.CDS1",17768140,17769321,"-"
"AVESA.00003a.r1.1AG00016140",823.449861548069,1.02654119349313,0.264623129521982,3.8792572491584,0.000104775903622249,0.00539901200755972,"chr1A","AVESA.00003a.r1.1AG00016140.1.CDS1",22924534,22924774,"+"
"AVESA.00003a.r1.1AG00130150",18.8618810074925,1.82249718973164,0.432968685196616,4.2093048574726,2.56157571195229e-05,0.0018792415342295,"chr1A","AVESA.00003a.r1.1AG00130150.1.CDS1",241097105,241097416,"+"
"AVESA.00003a.r1.1AG00178540",691.524933063319,1.54185888343068,0.278867088123238,5.52900987279393,3.22043222739042e-08,8.47107165222432e-06,"chr1A","AVESA.00003a.r1.1AG00178540.1.CDS1",312039564,312039636,"+"
"AVESA.00003a.r1.1AG00192260",210.967317802891,1.16957648183987,0.284149795631588,4.11605603741582,3.85410638451832e-05,0.0025443617532229,"chr1A","AVESA.00003a.r1.1AG00192260.1.CDS1",330020570,330020770,"-"
"AVESA.00003a.r1.1AG00235080",44.3501112553788,1.0199347563174,0.225376895795244,4.5254627929742,6.02634835923409e-06,0.000605821043867796,"chr1A","AVESA.00003a.r1.1AG00235080.1.CDS1",379490988,379491911,"-"
"AVESA.00003a.r1.1AG00302150",144.50983398884,1.88147344388425,0.253715194432384,7.41569084221982,1.20992440693451e-13,7.06025659389016e-11,"chr1A","AVESA.00003a.r1.1AG00302150.1.CDS1",468449961,468450164,"-"
"AVESA.00003a.r1.1AG00302160",1332.24421272265,1.10826591277811,0.154545871928555,7.17111300967295,7.4390462300889e-13,4.06083935444004e-10,"chr1A","AVESA.00003a.r1.1AG00302160.1.CDS1",468472196,468472399,"-"
"AVESA.00003a.r1.1AG00339640",37.2211542299507,1.21946579270696,0.367106238581133,3.32183347638058,0.000894280479522165,0.0260919178758056,"chr1A","AVESA.00003a.r1.1AG00339640.1.CDS1",525408749,525408808,"+"
"AVESA.00003a.r1.1CG00366890",42.8221088426839,1.67602232163171,0.337420179577498,4.96716682366285,6.79381416052984e-07,0.000107112286797397,"chr1C","AVESA.00003a.r1.1CG00366890.1.CDS1",18919883,18921355,"-"
"AVESA.00003a.r1.1CG00383460",95.1886863944735,1.28942507962525,0.314735548914708,4.09685237041553,4.18805797039864e-05,0.0027349231479931,"chr1C","AVESA.00003a.r1.1CG00383460.1.CDS1",39230585,39231121,"+"
"AVESA.00003a.r1.1CG00388110",28.5627235058233,2.11052295235767,0.471757383874998,4.47374651568125,7.68608526271558e-06,0.000718599430077867,"chr1C","AVESA.00003a.r1.1CG00388110.1.CDS6",49590034,49590093,"-"
"AVESA.00003a.r1.1CG00529540",170.876342138689,1.07740883610871,0.290710391449389,3.7061242659304,0.000210455070197189,0.00907280810645514,"chr1C","AVESA.00003a.r1.1CG00529540.1.CDS1",377685140,377685466,"+"
"AVESA.00003a.r1.1DG00580520",277.560778699201,1.40939355077227,0.169757073592335,8.30241427321535,1.02016758736216e-16,7.72997729964398e-14,"chr1D","AVESA.00003a.r1.1DG00580520.1.CDS1",6990023,6990195,"+"
"AVESA.00003a.r1.1DG00581820",875.22651830183,1.12405891379672,0.351892893077823,3.19432115825121,0.00140160097676741,0.0359732440786405,"chr1D","AVESA.00003a.r1.1DG00581820.1.CDS2",8588416,8588871,"-"
"AVESA.00003a.r1.1DG00737720",1018.3215834039,1.92684953209393,0.21832456662586,8.82561940633985,1.08855630495593e-18,9.6952171813505e-16,"chr1D","AVESA.00003a.r1.1DG00737720.1.CDS1",302248814,302248886,"+"
"AVESA.00003a.r1.1DG00750410",132.148597683125,1.09551728553533,0.250310890090837,4.37662654284745,1.20530227710476e-05,0.00103186476731496,"chr1D","AVESA.00003a.r1.1DG00750410.1.CDS1",319784919,319785170,"-"
"AVESA.00003a.r1.1DG00752660",23.9886208170811,1.52854018439088,0.44997370704764,3.39695444522728,0.000681403095800374,0.0215935024747176,"chr1D","AVESA.00003a.r1.1DG00752660.1.CDS1",322335353,322335469,"+"
"AVESA.00003a.r1.1DG00771860",1268.00992210969,1.13889440785863,0.192307596470986,5.92225387222524,3.17558878116322e-09,1.00160187276749e-06,"chr1D","AVESA.00003a.r1.1DG00771860.1.CDS9",345596693,345596935,"-"
"AVESA.00003a.r1.1DG00779760",170.352107974506,1.26574876546218,0.364793101919072,3.4697716563264,0.000520901007137137,0.0178318148545725,"chr1D","AVESA.00003a.r1.1DG00779760.1.CDS1",353640628,353640798,"+"
"AVESA.00003a.r1.1DG00858380",538.670061217198,1.2475551178389,0.230958859954515,5.40163351206613,6.60367610913304e-08,1.59642297634456e-05,"chr1D","AVESA.00003a.r1.1DG00858380.1.CDS1",449732906,449733187,"+"
"AVESA.00003a.r1.1DG00871610",51.3845613443164,1.7112311032959,0.559318771548898,3.05949163579306,0.00221712978577159,0.048879521107949,"chr1D","AVESA.00003a.r1.1DG00871610.1.CDS1",464362214,464362561,"+"
"AVESA.00003a.r1.1DG00876310",19.8632915688559,1.46783690819743,0.454102889318288,3.23238839198092,0.00122760079391862,0.0327319377651609,"chr1D","AVESA.00003a.r1.1DG00876310.1.CDS3",469620988,469620996,"-"
"AVESA.00003a.r1.2AG01015880",59.8977974841846,1.1530891371338,0.22967028346878,5.02062835347416,5.15027224691636e-07,8.48908672594814e-05,"chr2A","AVESA.00003a.r1.2AG01015880.1.CDS1",231200134,231200355,"+"
"AVESA.00003a.r1.2AG01022580",9179.69271397699,2.5219814184412,0.353448931541983,7.13534882518562,9.65420125978315e-13,5.21398761016395e-10,"chr2A","AVESA.00003a.r1.2AG01022580.1.CDS5",242766882,242767032,"-"
"AVESA.00003a.r1.2AG01036450",45.6624739625676,1.35289021832739,0.3902260828851,3.4669394939593,0.000526420372713916,0.017948141747191,"chr2A","AVESA.00003a.r1.2AG01036450.1.CDS1",263533569,263534850,"+"
"AVESA.00003a.r1.2AG01070870",44.6541698282614,1.66021050897438,0.400438705339028,4.14597911450338,3.38364670346915e-05,0.00229342579699624,"chr2A","AVESA.00003a.r1.2AG01070870.1.CDS6",315868830,315869211,"-"
"AVESA.00003a.r1.2AG01113590",131.992214349989,1.09368795418296,0.289747192649764,3.77462830331878,0.000160246416900171,0.00744984418202472,"chr2A","AVESA.00003a.r1.2AG01113590.1.CDS2",372756284,372756516,"-"
"AVESA.00003a.r1.2AG01151940",50.1950611230975,1.21745385454115,0.247974446396644,4.90959400144718,9.12651443241047e-07,0.000135475367891866,"chr2A","AVESA.00003a.r1.2AG01151940.1.CDS1",415444706,415445030,"+"
"AVESA.00003a.r1.2AG01164030",36.575321102639,3.58553550581356,0.583045548400286,6.1496662064418,7.76461815737208e-10,2.71852668962282e-07,"chr2A","AVESA.00003a.r1.2AG01164030.1.CDS1",432228126,432228320,"+"
"AVESA.00003a.r1.2CG01209450",45.266745815216,2.13223977080048,0.547253566291818,3.89625559728831,9.76912922726657e-05,0.00513134042335853,"chr2C","AVESA.00003a.r1.2CG01209450.1.CDS2",13834763,13835296,"-"
"AVESA.00003a.r1.2CG01250110",295.567581173027,6.50561851215173,1.62866216597313,3.99445547890199,6.48431039745623e-05,0.00378899363497325,"chr2C","AVESA.00003a.r1.2CG01250110.1.CDS1",106595653,106595682,"+"
"AVESA.00003a.r1.2CG01359980",938.727488171769,2.89602524074964,0.370094843504606,7.82508941039489,5.07296240956358e-15,3.3446634109911e-12,"chr2C","AVESA.00003a.r1.2CG01359980.1.CDS5",358243051,358243201,"-"
"AVESA.00003a.r1.2CG01468760",64.7759993116921,2.18072886064558,0.695444651971772,3.13573316648942,0.00171425097346344,0.0414416091284849,"chr2C","AVESA.00003a.r1.2CG01468760.1.CDS1",549146798,549146911,"+"
"AVESA.00003a.r1.2DG01493930",302.98377010017,1.03772340293344,0.246680959959413,4.20674300563845,2.59077476697748e-05,0.00189245845460641,"chr2D","AVESA.00003a.r1.2DG01493930.1.CDS1",24381429,24382166,"+"
"AVESA.00003a.r1.2DG01504170",361.505079012556,1.13993724842979,0.260201597805749,4.38097712713049,1.18148274682694e-05,0.00101834184394165,"chr2D","AVESA.00003a.r1.2DG01504170.1.CDS5",40750547,40750715,"-"
"AVESA.00003a.r1.2DG01574000",32.3758463417102,1.71824174115561,0.521417272140454,3.29532954307807,0.000983063229596387,0.0279972720343456,"chr2D","AVESA.00003a.r1.2DG01574000.1.CDS1",135626291,135627211,"+"
"AVESA.00003a.r1.2DG01618020",58.3267204775697,1.72497008361371,0.537867524144607,3.20705379332392,0.00134101917177548,0.0349484190418511,"chr2D","AVESA.00003a.r1.2DG01618020.1.CDS1",185297231,185297338,"+"
"AVESA.00003a.r1.2DG01644610",181.207515372101,1.78556863600403,0.35008686666883,5.10035881378298,3.39010183543792e-07,5.89401711916701e-05,"chr2D","AVESA.00003a.r1.2DG01644610.1.CDS1",222509848,222510134,"+"
"AVESA.00003a.r1.2DG01649670",504.7368405018,3.7945603535998,1.07551468803134,3.52813438610077,0.0004184996332896,0.0151756934880094,"chr2D","AVESA.00003a.r1.2DG01649670.1.CDS1",230477054,230477083,"+"
"AVESA.00003a.r1.2DG01754890",6094.04871192544,2.72287159924293,0.340272591266648,8.00203034016692,1.22384218756265e-15,8.75081638535112e-13,"chr2D","AVESA.00003a.r1.2DG01754890.1.CDS5",441015866,441016016,"-"
"AVESA.00003a.r1.2DG01797820",15.9360066963051,2.47639761628596,0.771261810310218,3.21083915109177,0.00132347992309444,0.0346157162574629,"chr2D","AVESA.00003a.r1.2DG01797820.1.CDS2",508748752,508749075,"-"
"AVESA.00003a.r1.3AG01816140",175.325260481875,2.77892197696928,0.538536902361937,5.16013287999647,2.4677462588925e-07,4.67462963899984e-05,"chr3A","AVESA.00003a.r1.3AG01816140.1.CDS7",18574482,18574607,"-"
"AVESA.00003a.r1.3AG01818820",38.5507927963551,1.27564127788713,0.398217265555997,3.20338013497747,0.00135824567766221,0.0352706180654103,"chr3A","AVESA.00003a.r1.3AG01818820.1.CDS1",21746699,21746926,"+"
