"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00248270",42.0499372478662,-1.98683129026599,0.488421173035748,-4.06786478546164,4.74458979874562e-05,0.0130189221551105,"chr1A","AVESA.00003a.r1.1AG00248270.1.CDS1",392894333,392895922,"+"
"AVESA.00003a.r1.1AG00289560",28.2764986554309,-3.36107291827873,0.775346472552402,-4.33493030182268,1.45806312308263e-05,0.00448723214549629,"chr1A","AVESA.00003a.r1.1AG00289560.1.CDS1",446466600,446467064,"-"
"AVESA.00003a.r1.1AG00322540",4.07865960309779,-2.18154619184403,0.541253126688525,-4.03054704772069,5.56471887089315e-05,0.015006956798319,"chr1A","AVESA.00003a.r1.1AG00322540.1.CDS2",501851286,501851380,"-"
"AVESA.00003a.r1.1DG00739400",14.274835267329,-4.62870474238748,0.9031739214228,-5.12493179065194,2.97645480148628e-07,0.000111230115931542,"chr1D","AVESA.00003a.r1.1DG00739400.1.CDS1",304357176,304357643,"-"
"AVESA.00003a.r1.1DG00851700",44.3290089045598,-1.59179916343105,0.36163844859109,-4.40163143502178,1.0743995211364e-05,0.00342746549675698,"chr1D","AVESA.00003a.r1.1DG00851700.1.CDS8",442109653,442109767,"-"
"AVESA.00003a.r1.1DG00876670",39.9865149237819,-2.59559115839899,0.681108866772588,-3.81083154987853,0.000138500122207657,0.0337548884797835,"chr1D","AVESA.00003a.r1.1DG00876670.1.CDS1",470014568,470015362,"+"
"AVESA.00003a.r1.2AG01113230",12.4771249875026,-3.9329070585517,0.759751000670862,-5.17657371307039,2.25997785393493e-07,8.69393539427705e-05,"chr2A","AVESA.00003a.r1.2AG01113230.1.CDS4",372288704,372288931,"-"
"AVESA.00003a.r1.2AG01125780",4.55460155647817,1.21957229831349,0.29403833265755,4.1476643106049,3.35884399626447e-05,0.00948172662931104,"chr2A","AVESA.00003a.r1.2AG01125780.1.CDS1",386222686,386222744,"+"
"AVESA.00003a.r1.2AG01163210",56.9416936496055,3.0019821718275,0.6768328209855,4.43533776547136,9.19280401001781e-06,0.00294458645018028,"chr2A","AVESA.00003a.r1.2AG01163210.1.CDS1",430979602,430979862,"+"
"AVESA.00003a.r1.2AG01164030",48.1630277692997,1.71085445146898,0.408528287299172,4.18784819719496,2.81611768076241e-05,0.00812123162301664,"chr2A","AVESA.00003a.r1.2AG01164030.1.CDS1",432228126,432228320,"+"
"AVESA.00003a.r1.2AG01164980",69.4079326858712,1.19603639415375,0.284852796497746,4.19878761542442,2.68347858313492e-05,0.00779967958402516,"chr2A","AVESA.00003a.r1.2AG01164980.1.CDS1",433748667,433749494,"+"
"AVESA.00003a.r1.2AG01169640",4.47372937147286,1.87926436963178,0.420648721976583,4.46753852193183,7.91247662753794e-06,0.00258728095124706,"chr2A","AVESA.00003a.r1.2AG01169640.1.CDS2",440900694,440901116,"-"
"AVESA.00003a.r1.2AG01171330",19.2708653315087,2.07725776621019,0.559186998621981,3.71478194473267,0.000203378995540146,0.0469428630382472,"chr2A","AVESA.00003a.r1.2AG01171330.1.CDS3",443485975,443486238,"-"
"AVESA.00003a.r1.2AG01175520",1029.61900456582,2.84802072921846,0.398951286654295,7.1387681265617,9.41710325131715e-13,5.2044085341804e-10,"chr2A","AVESA.00003a.r1.2AG01175520.1.CDS1",448452290,448452676,"-"
"AVESA.00003a.r1.2AG01178920",4.79686727468308,4.68516962443561,0.825886402478203,5.67289836759271,1.40401533280247e-08,6.08745366145522e-06,"chr2A","AVESA.00003a.r1.2AG01178920.1.CDS1",454791590,454792489,"-"
"AVESA.00003a.r1.2AG01179610",1.05961840478278,2.81520595411984,0.668735425479494,4.20974550899751,2.55658498188759e-05,0.00748631043371615,"chr2A","AVESA.00003a.r1.2AG01179610.1.CDS4",456214762,456214988,"-"
"AVESA.00003a.r1.2AG01181380",7.15469723480663,2.91828280544144,0.385667049942098,7.56684504387805,3.82397583757873e-14,2.27344054398232e-11,"chr2A","AVESA.00003a.r1.2AG01181380.1.CDS12",459573707,459574420,"-"
"AVESA.00003a.r1.2AG01186180",15.7609646342609,1.67862288408306,0.411055208271956,4.08369204501716,4.43257645574285e-05,0.0123791922604033,"chr2A","AVESA.00003a.r1.2AG01186180.1.CDS3",465545985,465546166,"-"
