"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00248270",42.0499372478662,-1.98683129026599,0.488421173035748,-4.06786478546164,4.74458979874562e-05,0.0130189221551105,"chr1A","AVESA.00003a.r1.1AG00248270.1.CDS1",392894333,392895922,"+"
"AVESA.00003a.r1.1AG00289560",28.2764986554309,-3.36107291827873,0.775346472552402,-4.33493030182268,1.45806312308263e-05,0.00448723214549629,"chr1A","AVESA.00003a.r1.1AG00289560.1.CDS1",446466600,446467064,"-"
"AVESA.00003a.r1.1AG00322540",4.07865960309779,-2.18154619184403,0.541253126688525,-4.03054704772069,5.56471887089315e-05,0.015006956798319,"chr1A","AVESA.00003a.r1.1AG00322540.1.CDS2",501851286,501851380,"-"
"AVESA.00003a.r1.1DG00739400",14.274835267329,-4.62870474238748,0.9031739214228,-5.12493179065194,2.97645480148628e-07,0.000111230115931542,"chr1D","AVESA.00003a.r1.1DG00739400.1.CDS1",304357176,304357643,"-"
"AVESA.00003a.r1.1DG00851700",44.3290089045598,-1.59179916343105,0.36163844859109,-4.40163143502178,1.0743995211364e-05,0.00342746549675698,"chr1D","AVESA.00003a.r1.1DG00851700.1.CDS8",442109653,442109767,"-"
"AVESA.00003a.r1.1DG00876670",39.9865149237819,-2.59559115839899,0.681108866772588,-3.81083154987853,0.000138500122207657,0.0337548884797835,"chr1D","AVESA.00003a.r1.1DG00876670.1.CDS1",470014568,470015362,"+"
"AVESA.00003a.r1.2AG01113230",12.4771249875026,-3.9329070585517,0.759751000670862,-5.17657371307039,2.25997785393493e-07,8.69393539427705e-05,"chr2A","AVESA.00003a.r1.2AG01113230.1.CDS4",372288704,372288931,"-"
"AVESA.00003a.r1.2CG01222000",108.596343295497,-1.84814123920532,0.0659636518245708,-28.0175701024016,9.9265284797814e-173,1.11286310786829e-168,"chr2C","AVESA.00003a.r1.2CG01222000.1.CDS6",37175820,37176139,"-"
"AVESA.00003a.r1.2CG01244880",5.34142670032796,-2.53975102773982,0.675240784714879,-3.76125240837197,0.000169064718126802,0.0399629273627622,"chr2C","AVESA.00003a.r1.2CG01244880.1.CDS3",96723295,96723506,"-"
"AVESA.00003a.r1.2CG01473480",27.5584212697757,-2.82690705013827,0.704809927570023,-4.01087859231014,6.04932132233451e-05,0.0161932340808723,"chr2C","AVESA.00003a.r1.2CG01473480.1.CDS2",555377780,555378308,"-"
"AVESA.00003a.r1.2DG01597500",13.1637941340667,-3.75631608056932,0.757921759581095,-4.95607367526358,7.19319494094913e-07,0.000258945118982048,"chr2D","AVESA.00003a.r1.2DG01597500.1.CDS4",164423025,164423252,"-"
"AVESA.00003a.r1.2DG01663900",12.0945008176035,-6.80682138712044,0.43760997636642,-15.5545388696096,1.48218911997544e-54,2.28074030526102e-51,"chr2D","AVESA.00003a.r1.2DG01663900.1.CDS1",258909783,258910178,"+"
"AVESA.00003a.r1.2DG01663910",1.60484549782449,-3.64457137291327,0.597703652342327,-6.09762272428928,1.07657462373544e-09,4.88360385820149e-07,"chr2D","AVESA.00003a.r1.2DG01663910.1.CDS1",258912486,258913469,"+"
"AVESA.00003a.r1.3AG01844140",1.30798501284808,-3.31356199965792,0.84044041016957,-3.94264954369503,8.05863703938508e-05,0.0210805886313274,"chr3A","AVESA.00003a.r1.3AG01844140.1.CDS1",50595957,50596085,"+"
"AVESA.00003a.r1.3AG01938140",70.7573947441009,-1.98518051994449,0.357551370150612,-5.55215469908077,2.82169708815676e-08,1.17163133538242e-05,"chr3A","AVESA.00003a.r1.3AG01938140.1.CDS9",220450656,220450739,"-"
"AVESA.00003a.r1.3CG02266880",57.0207911834184,-1.09223660774537,0.225740894658343,-4.8384525515346,1.30853925273652e-06,0.000462568625842361,"chr3C","AVESA.00003a.r1.3CG02266880.1.CDS4",467544614,467544724,"-"
"AVESA.00003a.r1.4AG02832020",123.824771707864,-1.21321774964725,0.322790648871636,-3.75852817883119,0.000170915792345666,0.0402791550627952,"chr4A","AVESA.00003a.r1.4AG02832020.1.CDS5",315173544,315173801,"-"
"AVESA.00003a.r1.4CG02992220",18.7448377752471,-2.4828498109631,0.378716142488214,-6.55596509472888,5.52831622401576e-11,2.76334823128717e-08,"chr4C","AVESA.00003a.r1.4CG02992220.1.CDS1",5143583,5145931,"+"
