"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00002520",1796.60107631899,0.52215215984199,0.132501683825248,3.94072093854021,8.12370889427348e-05,0.00445374005869959,"chr1A","AVESA.00003a.r1.1AG00002520.1.CDS1",3971273,3971288,"+"
"AVESA.00003a.r1.1AG00005410",296.964716557076,0.355534789435292,0.100953496951153,3.52176794437661,0.000428679211501362,0.015401810000205,"chr1A","AVESA.00003a.r1.1AG00005410.1.CDS1",7796435,7797190,"+"
"AVESA.00003a.r1.1AG00007430",3444.05593724441,-0.481496469978461,0.114338882157679,-4.21113501279865,2.54090823430952e-05,0.00187491698155801,"chr1A","AVESA.00003a.r1.1AG00007430.1.CDS14",9989367,9989369,"-"
"AVESA.00003a.r1.1AG00008760",278.031566491664,-1.02826245110482,0.198160313150857,-5.18904332938765,2.11377212240194e-07,4.19368841500947e-05,"chr1A","AVESA.00003a.r1.1AG00008760.1.CDS3",11553622,11553965,"-"
"AVESA.00003a.r1.1AG00009410",4237.75137490605,0.68905184914966,0.201200701800569,3.42469903426405,0.000615480829998316,0.0200552729759464,"chr1A","AVESA.00003a.r1.1AG00009410.1.CDS2",12331568,12332023,"-"
"AVESA.00003a.r1.1AG00009670",1038.58036287167,0.281682295964272,0.086368415272702,3.26140401065459,0.00110861960341858,0.0304387730701738,"chr1A","AVESA.00003a.r1.1AG00009670.1.CDS1",12796519,12796830,"+"
"AVESA.00003a.r1.1AG00009900",321.946659386524,0.706639777810304,0.140500003533306,5.02946448426808,4.91851591581256e-07,8.16007508163582e-05,"chr1A","AVESA.00003a.r1.1AG00009900.1.CDS2",13063269,13064050,"-"
"AVESA.00003a.r1.1AG00009980",80.8172661399486,-0.644824585002587,0.209325235085929,-3.08049139291726,0.00206659327609764,0.0466702583841854,"chr1A","AVESA.00003a.r1.1AG00009980.1.CDS11",13170395,13170606,"-"
"AVESA.00003a.r1.1AG00013000",86.283333232197,1.20194393258388,0.354232692324519,3.39309148654963,0.000691085530501622,0.0218186188600596,"chr1A","AVESA.00003a.r1.1AG00013000.1.CDS1",17768140,17769321,"-"
"AVESA.00003a.r1.1AG00013540",349.084996571868,0.668913460650381,0.159901945763749,4.18327280168738,2.87342241937241e-05,0.0020333448690641,"chr1A","AVESA.00003a.r1.1AG00013540.1.CDS1",18604758,18605168,"+"
"AVESA.00003a.r1.1AG00013620",53.2971815811255,-1.06478478523634,0.33017895497658,-3.22487175268899,0.00126029111933557,0.0333587613642558,"chr1A","AVESA.00003a.r1.1AG00013620.1.CDS1",18899825,18900688,"-"
"AVESA.00003a.r1.1AG00013730",166.140589158235,0.610234313053975,0.190548579718259,3.20251304919855,0.00136234127841708,0.0353408174151251,"chr1A","AVESA.00003a.r1.1AG00013730.1.CDS1",19093284,19093853,"-"
"AVESA.00003a.r1.1AG00016140",823.449861548069,1.02654119349313,0.264623129521982,3.8792572491584,0.000104775903622249,0.00539901200755972,"chr1A","AVESA.00003a.r1.1AG00016140.1.CDS1",22924534,22924774,"+"
"AVESA.00003a.r1.1AG00016830",1108.63549388745,0.347444828052517,0.0889368960208473,3.90664441415938,9.35867192182092e-05,0.00496459453976053,"chr1A","AVESA.00003a.r1.1AG00016830.1.CDS1",24000121,24000294,"+"
"AVESA.00003a.r1.1AG00018720",460.45251514919,-0.502250899343887,0.12306494526195,-4.08118573713108,4.48065304128483e-05,0.00287571824205951,"chr1A","AVESA.00003a.r1.1AG00018720.1.CDS1",26846520,26847038,"-"
"AVESA.00003a.r1.1AG00032180",3269.7519769875,-0.327784766292542,0.0830800625562102,-3.94540827494888,7.96641237609026e-05,0.0044055648921239,"chr1A","AVESA.00003a.r1.1AG00032180.1.CDS1",53384872,53385735,"+"
"AVESA.00003a.r1.1AG00071690",235.694791406438,0.385122542989318,0.114277387960443,3.37006777861101,0.000751496967998341,0.0230382020604529,"chr1A","AVESA.00003a.r1.1AG00071690.1.CDS1",134235350,134235522,"+"
"AVESA.00003a.r1.1AG00074770",1491.94350437586,-0.368088401043585,0.116337258754563,-3.16397691491204,0.00155629139297809,0.0385915001332527,"chr1A","AVESA.00003a.r1.1AG00074770.1.CDS1",140535648,140535950,"+"
"AVESA.00003a.r1.1AG00118080",2914.10068078692,-0.465520686536794,0.104277449579396,-4.46425078878006,8.03494079990822e-06,0.000747087618294763,"chr1A","AVESA.00003a.r1.1AG00118080.1.CDS11",220545853,220546325,"-"
"AVESA.00003a.r1.1AG00125000",1123.04364735229,-0.294456176188332,0.0955452149223238,-3.08185162833867,0.00205717348011057,0.0465403413835888,"chr1A","AVESA.00003a.r1.1AG00125000.1.CDS1",232739051,232739203,"+"
"AVESA.00003a.r1.1AG00127330",1908.99259105427,-0.632854438723411,0.134156697401801,-4.71727801130944,2.39020973149692e-06,0.000297968473563708,"chr1A","AVESA.00003a.r1.1AG00127330.1.CDS4",235887351,235887459,"-"
"AVESA.00003a.r1.1AG00128250",276.698740644603,-0.63892099905993,0.184241052245769,-3.46785361498934,0.000524632989642552,0.0179017327674539,"chr1A","AVESA.00003a.r1.1AG00128250.1.CDS1",237477956,237478168,"+"
"AVESA.00003a.r1.1AG00130150",18.8618810074925,1.82249718973164,0.432968685196616,4.2093048574726,2.56157571195229e-05,0.0018792415342295,"chr1A","AVESA.00003a.r1.1AG00130150.1.CDS1",241097105,241097416,"+"
"AVESA.00003a.r1.1AG00130160",277.641970063318,-0.481557713866892,0.130012903489046,-3.70392246418421,0.000212291169597087,0.00911792369453074,"chr1A","AVESA.00003a.r1.1AG00130160.1.CDS8",241103491,241103709,"-"
"AVESA.00003a.r1.1AG00133950",379.58439479807,-0.258940442069451,0.0791682890588234,-3.27075960776484,0.00107259043747311,0.0298237804068807,"chr1A","AVESA.00003a.r1.1AG00133950.1.CDS6",247377080,247377451,"-"
"AVESA.00003a.r1.1AG00140500",286.050822291555,-0.296317801587829,0.0918978643907816,-3.22442532862117,0.00126225770514001,0.0333587613642558,"chr1A","AVESA.00003a.r1.1AG00140500.1.CDS14",256345962,256346129,"-"
"AVESA.00003a.r1.1AG00144560",873.540793490974,-0.441207368010671,0.115672007669019,-3.81429679402757,0.000136571258633863,0.0066425806747492,"chr1A","AVESA.00003a.r1.1AG00144560.1.CDS3",261589908,261590456,"-"
"AVESA.00003a.r1.1AG00146180",507.886882044635,0.326655493844158,0.105607003879042,3.09312338998174,0.00198061765882645,0.0453950413930666,"chr1A","AVESA.00003a.r1.1AG00146180.1.CDS9",264435199,264435359,"-"
"AVESA.00003a.r1.1AG00155220",952.10411301272,-0.234461463063958,0.0763228256104664,-3.07197042547395,0.00212650792974831,0.0476418482213294,"chr1A","AVESA.00003a.r1.1AG00155220.1.CDS5",278086969,278087168,"-"
"AVESA.00003a.r1.1AG00155340",1362.18611913386,-0.477789432289885,0.10582618788126,-4.51485064194111,6.33614053700791e-06,0.000628255559848204,"chr1A","AVESA.00003a.r1.1AG00155340.1.CDS9",278189122,278189355,"-"
"AVESA.00003a.r1.1AG00157790",2417.85817086243,-0.393131423990795,0.0978599803769416,-4.01728492563061,5.88725253563989e-05,0.00352475725193872,"chr1A","AVESA.00003a.r1.1AG00157790.1.CDS1",281613078,281613652,"+"
