"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00276040",154.028481144533,-6.82367481388974,1.43798396887349,19.9544403947731,0.000509847975980641,0.0394496476729806,"chr1A","AVESA.00003a.r1.1AG00276040.1.CDS4",423282454,423282895,"-"
"AVESA.00003a.r1.1AG00302150",376.819000507193,-1.12651614892142,0.359001371183336,29.5406828328476,6.0696454431493e-06,0.00216799265956582,"chr1A","AVESA.00003a.r1.1AG00302150.1.CDS1",468449961,468450164,"-"
"AVESA.00003a.r1.2AG01022580",35835.1136556402,-1.85832404241359,0.41163823660571,48.9152616137824,6.08140440120822e-10,4.41933700335859e-06,"chr2A","AVESA.00003a.r1.2AG01022580.1.CDS5",242766882,242767032,"-"
"AVESA.00003a.r1.2AG01040800",118.417660734105,-1.59313392464582,0.511354798929586,19.2421356623206,0.000704354856460831,0.0468319750665884,"chr2A","AVESA.00003a.r1.2AG01040800.1.CDS5",270438471,270438586,"-"
"AVESA.00003a.r1.2AG01090080",361.296076687861,-3.57188128442382,0.764449961999326,23.5052890906674,0.000100344039668536,0.014783308840471,"chr2A","AVESA.00003a.r1.2AG01090080.1.CDS2",342674630,342675050,"-"
"AVESA.00003a.r1.2CG01220540",135.364731481075,-3.86247284268753,0.800295094901173,22.423063740921,0.000165068316577456,0.0202014683212203,"chr2C","AVESA.00003a.r1.2CG01220540.1.CDS6",34176083,34176226,"-"
"AVESA.00003a.r1.2CG01359980",5551.03465231059,-2.23990668683636,0.556094514227202,32.6621269946113,1.40066556877379e-06,0.000860512898831866,"chr2C","AVESA.00003a.r1.2CG01359980.1.CDS5",358243051,358243201,"-"
"AVESA.00003a.r1.2DG01493930",355.464570397826,-1.09796723575747,0.298450204257775,34.9655094560354,4.72174787436361e-07,0.000439523185468792,"chr2D","AVESA.00003a.r1.2DG01493930.1.CDS1",24381429,24382166,"+"
"AVESA.00003a.r1.2DG01538420",145.125908078385,-4.23642135328921,1.26554676108126,19.5738011593267,0.000606037864609232,0.0430861491573296,"chr2D","AVESA.00003a.r1.2DG01538420.1.CDS1",82432243,82432423,"+"
"AVESA.00003a.r1.2DG01538490",120.47183722183,-4.87957315128088,0.927410402356394,34.7775373677811,5.16067325986225e-07,0.0004474835341916,"chr2D","AVESA.00003a.r1.2DG01538490.1.CDS1",82551173,82552759,"+"
"AVESA.00003a.r1.2DG01644960",359.203040048743,-3.78543778353981,0.911027346436834,20.1751193097992,0.000461173639790553,0.0373781843458739,"chr2D","AVESA.00003a.r1.2DG01644960.1.CDS3",223076286,223076497,"-"
