"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.2AG01125780",4.55460155647817,1.21957229831349,0.29403833265755,4.1476643106049,3.35884399626447e-05,0.00948172662931104,"chr2A","AVESA.00003a.r1.2AG01125780.1.CDS1",386222686,386222744,"+"
"AVESA.00003a.r1.2AG01163210",56.9416936496055,3.0019821718275,0.6768328209855,4.43533776547136,9.19280401001781e-06,0.00294458645018028,"chr2A","AVESA.00003a.r1.2AG01163210.1.CDS1",430979602,430979862,"+"
"AVESA.00003a.r1.2AG01164030",48.1630277692997,1.71085445146898,0.408528287299172,4.18784819719496,2.81611768076241e-05,0.00812123162301664,"chr2A","AVESA.00003a.r1.2AG01164030.1.CDS1",432228126,432228320,"+"
"AVESA.00003a.r1.2AG01164980",69.4079326858712,1.19603639415375,0.284852796497746,4.19878761542442,2.68347858313492e-05,0.00779967958402516,"chr2A","AVESA.00003a.r1.2AG01164980.1.CDS1",433748667,433749494,"+"
"AVESA.00003a.r1.2AG01169640",4.47372937147286,1.87926436963178,0.420648721976583,4.46753852193183,7.91247662753794e-06,0.00258728095124706,"chr2A","AVESA.00003a.r1.2AG01169640.1.CDS2",440900694,440901116,"-"
"AVESA.00003a.r1.2AG01171330",19.2708653315087,2.07725776621019,0.559186998621981,3.71478194473267,0.000203378995540146,0.0469428630382472,"chr2A","AVESA.00003a.r1.2AG01171330.1.CDS3",443485975,443486238,"-"
"AVESA.00003a.r1.2AG01175520",1029.61900456582,2.84802072921846,0.398951286654295,7.1387681265617,9.41710325131715e-13,5.2044085341804e-10,"chr2A","AVESA.00003a.r1.2AG01175520.1.CDS1",448452290,448452676,"-"
"AVESA.00003a.r1.2AG01178920",4.79686727468308,4.68516962443561,0.825886402478203,5.67289836759271,1.40401533280247e-08,6.08745366145522e-06,"chr2A","AVESA.00003a.r1.2AG01178920.1.CDS1",454791590,454792489,"-"
"AVESA.00003a.r1.2AG01179610",1.05961840478278,2.81520595411984,0.668735425479494,4.20974550899751,2.55658498188759e-05,0.00748631043371615,"chr2A","AVESA.00003a.r1.2AG01179610.1.CDS4",456214762,456214988,"-"
"AVESA.00003a.r1.2AG01181380",7.15469723480663,2.91828280544144,0.385667049942098,7.56684504387805,3.82397583757873e-14,2.27344054398232e-11,"chr2A","AVESA.00003a.r1.2AG01181380.1.CDS12",459573707,459574420,"-"
"AVESA.00003a.r1.2AG01186180",15.7609646342609,1.67862288408306,0.411055208271956,4.08369204501716,4.43257645574285e-05,0.0123791922604033,"chr2A","AVESA.00003a.r1.2AG01186180.1.CDS3",465545985,465546166,"-"
"AVESA.00003a.r1.2CG01476100",2.44626479810059,2.75756779548041,0.7354635588686,3.74942818339295,0.000177238243158671,0.0416440886477934,"chr2C","AVESA.00003a.r1.2CG01476100.1.CDS10",558416634,558416790,"-"
"AVESA.00003a.r1.3AG01846460",39.857608496586,1.39058522037272,0.316890967518499,4.38821349583446,1.14285559773835e-05,0.0036164467235368,"chr3A","AVESA.00003a.r1.3AG01846460.1.CDS1",53696085,53696564,"-"
"AVESA.00003a.r1.3CG02351990",38.0721790001002,1.30305593279218,0.313395746259327,4.15786094210078,3.2124146266906e-05,0.00913408198039123,"chr3C","AVESA.00003a.r1.3CG02351990.1.CDS1",625064846,625065201,"+"
"AVESA.00003a.r1.3DG02566940",34.3582970522822,1.21278191668787,0.316952293799793,3.82638630611689,0.000130038167251883,0.0318447268163807,"chr3D","AVESA.00003a.r1.3DG02566940.1.CDS1",364526753,364527145,"-"
"AVESA.00003a.r1.3DG02603920",31.0371192276028,3.77581471220243,0.228860596194595,16.4983172070037,3.7726018268727e-61,6.29920156526571e-58,"chr3D","AVESA.00003a.r1.3DG02603920.1.CDS4",427014373,427014565,"-"
"AVESA.00003a.r1.4AG02852520",215.430207464359,1.41628440112693,0.370176296170511,3.82597269403378,0.000130256728825748,0.0318447268163807,"chr4A","AVESA.00003a.r1.4AG02852520.1.CDS7",338148340,338149078,"-"
"AVESA.00003a.r1.4CG02988130",1612.34395923491,3.72630427285609,0.361981459254652,10.2941854550475,7.4850369769256e-25,6.60003648132798e-22,"chr4C","AVESA.00003a.r1.4CG02988130.1.CDS1",309108,309135,"+"
"AVESA.00003a.r1.4CG02988140",303.885839688596,1.50907578924643,0.109146019429636,13.8262100361736,1.7710900345487e-43,2.20618781970283e-40,"chr4C","AVESA.00003a.r1.4CG02988140.1.CDS1",313045,313356,"+"
"AVESA.00003a.r1.4CG02988180",49.482983148997,1.42632668702852,0.191952666926597,7.43061667162949,1.08092544023786e-13,6.23733718923137e-11,"chr4C","AVESA.00003a.r1.4CG02988180.1.CDS1",358326,358407,"+"
"AVESA.00003a.r1.4CG02988940",39.3219134515877,1.18539737108045,0.272421094340758,4.35134207925065,1.35306759074275e-05,0.00419702313512721,"chr4C","AVESA.00003a.r1.4CG02988940.1.CDS1",1047639,1047858,"+"
"AVESA.00003a.r1.4CG02989210",169.283963242806,1.15589157954856,0.152873584997361,7.56109421760808,3.99692586026398e-14,2.35839662207471e-11,"chr4C","AVESA.00003a.r1.4CG02989210.1.CDS5",1453058,1453543,"-"
"AVESA.00003a.r1.4CG02989410",88.8133639068608,3.15549395583256,0.316104137185152,9.98245066936371,1.81917192714561e-23,1.50277005606953e-20,"chr4C","AVESA.00003a.r1.4CG02989410.1.CDS3",1649167,1649450,"-"
