"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00005230",376.646107551819,-0.11239747528063,0.136860712593474,22.4005019207459,0.00016678676156212,0.0196854708299291,"chr1A","AVESA.00003a.r1.1AG00005230.1.CDS1",7490378,7490533,"+"
"AVESA.00003a.r1.1AG00007430",2140.56333979202,0.443977047683175,0.135050889250394,19.8474797220263,0.000535236704170092,0.0380222440613732,"chr1A","AVESA.00003a.r1.1AG00007430.1.CDS14",9989367,9989369,"-"
"AVESA.00003a.r1.1AG00008760",139.831598989877,0.87841548361202,0.30487016211306,20.4746414368399,0.000402393427478351,0.0334429275961959,"chr1A","AVESA.00003a.r1.1AG00008760.1.CDS3",11553622,11553965,"-"
"AVESA.00003a.r1.1AG00013000",99.1866869402136,-0.070420135214702,0.431080052587791,29.3999566730865,6.48305308135809e-06,0.00242166967408268,"chr1A","AVESA.00003a.r1.1AG00013000.1.CDS1",17768140,17769321,"-"
"AVESA.00003a.r1.1AG00016820",444.459691065164,-0.448820193638991,0.127652903205725,18.8082959629227,0.000857110756329172,0.0495513402149753,"chr1A","AVESA.00003a.r1.1AG00016820.1.CDS8",23973061,23973078,"-"
"AVESA.00003a.r1.1AG00018720",531.269462907798,0.815100920800975,0.226870601956958,18.8240321767164,0.000851036485993154,0.0495349866984234,"chr1A","AVESA.00003a.r1.1AG00018720.1.CDS1",26846520,26847038,"-"
"AVESA.00003a.r1.1AG00021590",281.536833742893,-0.357544018382707,0.146654107183985,20.7121310319239,0.000361115210428145,0.0313138475328406,"chr1A","AVESA.00003a.r1.1AG00021590.1.CDS1",31558000,31558002,"+"
"AVESA.00003a.r1.1AG00066230",588.11406787761,-0.126482792550132,0.11607645166071,19.9372132802481,0.000513855022653237,0.0376443101940276,"chr1A","AVESA.00003a.r1.1AG00066230.1.CDS6",122391045,122391103,"-"
"AVESA.00003a.r1.1AG00120990",1644.26290352295,-0.000796624308004849,0.249504304855755,20.6697804275112,0.000368155698530935,0.0317623058488923,"chr1A","AVESA.00003a.r1.1AG00120990.1.CDS4",225668905,225668961,"-"
"AVESA.00003a.r1.1AG00124950",114.748900486248,-1.32421509855517,0.334787843970461,22.6502270436642,0.000148715631161588,0.0181481342886202,"chr1A","AVESA.00003a.r1.1AG00124950.1.CDS1",232704102,232704539,"+"
"AVESA.00003a.r1.1AG00147330",2108.99230049171,-0.109172233864629,0.107665117260562,19.7688645180118,0.000554691350694937,0.0385584220712112,"chr1A","AVESA.00003a.r1.1AG00147330.1.CDS18",265931298,265931394,"-"
"AVESA.00003a.r1.1AG00180660",465.679595518354,-0.0111180423957264,0.272874710341509,24.9359164470058,5.18246411403545e-05,0.00912998201962609,"chr1A","AVESA.00003a.r1.1AG00180660.1.CDS1",314664566,314664828,"+"
"AVESA.00003a.r1.1AG00207460",2905.37383372006,0.562202247932525,0.0992853410547775,61.5964210384011,1.33939847235599e-12,1.51762776241083e-08,"chr1A","AVESA.00003a.r1.1AG00207460.1.CDS8",350626095,350626250,"-"
"AVESA.00003a.r1.1AG00214680",705.202140944995,-0.522575277457667,0.127869404843636,19.8739276219226,0.000528844783826482,0.0380222440613732,"chr1A","AVESA.00003a.r1.1AG00214680.1.CDS6",358897836,358898139,"-"
"AVESA.00003a.r1.1AG00216250",495.328959128934,0.00818452851039131,0.133676150568651,29.4370434055894,6.37145971833225e-06,0.00240642954161722,"chr1A","AVESA.00003a.r1.1AG00216250.1.CDS14",360810141,360810876,"-"
"AVESA.00003a.r1.1AG00234550",2170.39795645323,0.389539477789678,0.0923745315122085,20.0519584235699,0.000487741513936157,0.0365213535053527,"chr1A","AVESA.00003a.r1.1AG00234550.1.CDS7",378893745,378893978,"-"
