"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00013000",97.5906987078912,1.13297446547675,0.261275555079248,4.33632019318878,1.44887843285975e-05,0.00292449157174988,"chr1A","AVESA.00003a.r1.1AG00013000.1.CDS1",17768140,17769321,"-"
"AVESA.00003a.r1.1AG00069620",26.6162275997264,-2.76933804122179,0.754881364484054,-3.66857386009863,0.000243907233475812,0.026383781201453,"chr1A","AVESA.00003a.r1.1AG00069620.1.CDS1",129857571,129857763,"+"
"AVESA.00003a.r1.1AG00276930",13.8561955353782,-2.11100313133543,0.599646558614697,-3.52041231790318,0.000430876426465035,0.0396827383018943,"chr1A","AVESA.00003a.r1.1AG00276930.1.CDS4",424188231,424189053,"-"
"AVESA.00003a.r1.1AG00289560",51.8014425533036,-6.13554816961001,1.34194896435421,-4.5721173700243,4.82820348912221e-06,0.00123481752952097,"chr1A","AVESA.00003a.r1.1AG00289560.1.CDS1",446466600,446467064,"-"
"AVESA.00003a.r1.1AG00337960",355.882369337522,-5.99018415608356,1.50135072128714,-3.98986330851997,6.61113837836208e-05,0.00984472915619429,"chr1A","AVESA.00003a.r1.1AG00337960.1.CDS1",523250393,523251091,"+"
"AVESA.00003a.r1.1AG00337970",25.9850022441044,-7.71121033601562,2.12896465148439,-3.62204714420179,0.000292280836891552,0.0299226856184942,"chr1A","AVESA.00003a.r1.1AG00337970.1.CDS1",523279536,523280219,"+"
"AVESA.00003a.r1.1CG00412700",15.6553709842111,1.6813699586347,0.479505946683803,3.50646320501929,0.000454104215334294,0.0406187659057158,"chr1C","AVESA.00003a.r1.1CG00412700.1.CDS2",108608987,108609239,"-"
"AVESA.00003a.r1.1DG00702170",26.9702689506303,1.18249666814926,0.274495064369849,4.30789774258377,1.64813544814171e-05,0.00325824064441969,"chr1D","AVESA.00003a.r1.1DG00702170.1.CDS1",243798705,243799700,"-"
"AVESA.00003a.r1.1DG00739400",42.7793153226144,-8.43899751221607,1.91554133179024,-4.40554185501656,1.05519774188673e-05,0.00226150900462871,"chr1D","AVESA.00003a.r1.1DG00739400.1.CDS1",304357176,304357643,"-"
"AVESA.00003a.r1.1DG00739420",54.2977617733305,-5.20725938545432,1.36512155619647,-3.81450235095759,0.000136457638022464,0.017099956508254,"chr1D","AVESA.00003a.r1.1DG00739420.1.CDS1",304369847,304370314,"-"
"AVESA.00003a.r1.1DG00783240",7.7122224306315,-5.44907837749889,1.50064268614771,-3.63116311950794,0.000282146777021652,0.0293215284271278,"chr1D","AVESA.00003a.r1.1DG00783240.1.CDS1",357058936,357059637,"+"
"AVESA.00003a.r1.1DG00805580",374.644328633719,-6.64014251483538,1.71577836922209,-3.87004675775574,0.000108814481370853,0.0143963651439819,"chr1D","AVESA.00003a.r1.1DG00805580.1.CDS3",380978352,380978601,"-"
"AVESA.00003a.r1.1DG00851190",151.159667514399,1.18674795325013,0.273078271172651,4.34581612134133,1.38758774772829e-05,0.00284960818747651,"chr1D","AVESA.00003a.r1.1DG00851190.1.CDS1",441152217,441153176,"+"
"AVESA.00003a.r1.1DG00851520",6.58229999180969,-5.71757071851714,1.29244277406795,-4.42384826101133,9.69581320887731e-06,0.00213303808083988,"chr1D","AVESA.00003a.r1.1DG00851520.1.CDS8",441903020,441903042,"-"
"AVESA.00003a.r1.1DG00851700",38.8624657272178,-2.26325569411885,0.647312474267286,-3.49638819594926,0.000471602075352436,0.0417565096242234,"chr1D","AVESA.00003a.r1.1DG00851700.1.CDS8",442109653,442109767,"-"
"AVESA.00003a.r1.1DG00857580",242.639618384103,1.1485657916654,0.240513775034607,4.77546781468186,1.79289966087928e-06,0.00051801798904112,"chr1D","AVESA.00003a.r1.1DG00857580.1.CDS1",449019597,449020556,"-"
"AVESA.00003a.r1.1DG00870930",29.7080289672741,-1.39773053903565,0.278060096139904,-5.0267210521728,4.9893728757567e-07,0.000167943344665332,"chr1D","AVESA.00003a.r1.1DG00870930.1.CDS1",463567463,463567834,"+"
"AVESA.00003a.r1.2AG00887300",225.175520293765,-5.09805607840755,1.17611421317114,-4.33466071688881,1.45985101339343e-05,0.00292808659383171,"chr2A","AVESA.00003a.r1.2AG00887300.1.CDS3",1589715,1589926,"-"
"AVESA.00003a.r1.2AG00900280",2903.69109854146,1.34639835007361,0.297908951691317,4.51949611594318,6.19869848356304e-06,0.00152850128879458,"chr2A","AVESA.00003a.r1.2AG00900280.1.CDS1",21234710,21234767,"+"
"AVESA.00003a.r1.2AG01080350",68.2161597722071,1.30542379481589,0.380595020966292,3.42995499915251,0.00060368135950206,0.0489161024398654,"chr2A","AVESA.00003a.r1.2AG01080350.1.CDS7",329398548,329398580,"-"
