"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00236040",48.2208691921306,-1.33459498343808,0.24936285150023,-5.35202005996008,8.69777538940001e-08,4.61894301349772e-05,"chr1A","AVESA.00003a.r1.1AG00236040.1.CDS1",380522098,380522328,"-"
"AVESA.00003a.r1.1CG00519650",22.9209658259756,-1.30789422333602,0.261045233503325,-5.01022066476216,5.43676597415221e-07,0.000257336316424383,"chr1C","AVESA.00003a.r1.1CG00519650.1.CDS4",358762720,358762884,"-"
"AVESA.00003a.r1.1DG00680410",250.805964361369,-1.09045356478348,0.290849915470492,-3.74919677394274,0.000177401852345592,0.0362115987292553,"chr1D","AVESA.00003a.r1.1DG00680410.1.CDS11",207259962,207260434,"-"
"AVESA.00003a.r1.1DG00690130",145.378974924395,-1.26491624659543,0.222912565386352,-5.67449503980663,1.39098347240782e-08,8.49136910600057e-06,"chr1D","AVESA.00003a.r1.1DG00690130.1.CDS4",223825447,223825555,"-"
"AVESA.00003a.r1.1DG00690370",108.920601178802,-1.00623912601113,0.186041302604812,-5.40868673742073,6.34885674982085e-08,3.45584145034624e-05,"chr1D","AVESA.00003a.r1.1DG00690370.1.CDS1",224297135,224298670,"-"
"AVESA.00003a.r1.1DG00713150",94.924623076343,-1.50315690544348,0.299866966789568,-5.01274589040786,5.36587388794542e-07,0.000255834683566939,"chr1D","AVESA.00003a.r1.1DG00713150.1.CDS1",261034638,261035588,"-"
"AVESA.00003a.r1.1DG00876670",6.12880714974835,-2.95852740276728,0.759410309826794,-3.89582201411259,9.78662402220583e-05,0.0234133405182873,"chr1D","AVESA.00003a.r1.1DG00876670.1.CDS1",470014568,470015362,"+"
"AVESA.00003a.r1.2AG01200480",479.246473908699,-1.36109851307216,0.230510453894875,-5.90471490587099,3.53257103776738e-09,2.35453068995844e-06,"chr2A","AVESA.00003a.r1.2AG01200480.1.CDS1",480349193,480352975,"+"
"AVESA.00003a.r1.2CG01212010",32.2002518814501,-1.09921724976594,0.28663740852586,-3.8348701776892,0.000125630632726972,0.0278171772850613,"chr2C","AVESA.00003a.r1.2CG01212010.1.CDS1",17916724,17916997,"+"
"AVESA.00003a.r1.2CG01222000",110.567108481167,-1.68777750581381,0.158058350706275,-10.6781925679477,1.2875401964561e-26,3.00360136043986e-23,"chr2C","AVESA.00003a.r1.2CG01222000.1.CDS6",37175820,37176139,"-"
"AVESA.00003a.r1.2DG01514480",46.2352273637011,-1.54467217245434,0.221396593108872,-6.97694644151429,3.01664640374134e-12,3.03145117609201e-09,"chr2D","AVESA.00003a.r1.2DG01514480.1.CDS1",53441070,53441843,"+"
"AVESA.00003a.r1.2DG01632080",50.8909272427985,-1.1738577479757,0.318903439563698,-3.68091905682073,0.000232394777052503,0.0439994041805577,"chr2D","AVESA.00003a.r1.2DG01632080.1.CDS1",202231766,202231836,"+"
"AVESA.00003a.r1.2DG01663900",7.16567789819851,-6.39220811777835,1.04873439261114,-6.09516400226277,1.09325310410285e-09,7.93539368200553e-07,"chr2D","AVESA.00003a.r1.2DG01663900.1.CDS1",258909783,258910178,"+"
"AVESA.00003a.r1.3AG02037090",70.3423083434561,-1.27812528606052,0.341182730701262,-3.74616054990086,0.000179561696163314,0.0365382879491947,"chr3A","AVESA.00003a.r1.3AG02037090.1.CDS1",395561576,395562949,"-"
"AVESA.00003a.r1.3AG02042090",24.8742013511911,-1.33267138797473,0.343324170464654,-3.88167074334177,0.000103741275053765,0.0244630914990501,"chr3A","AVESA.00003a.r1.3AG02042090.1.CDS1",402479184,402479377,"+"
