"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00190130",405.060739457602,0.289282257478282,0.0751471706073798,3.84954290547665,0.000118338454185034,0.0451266139329886,"chr1A","AVESA.00003a.r1.1AG00190130.1.CDS5",327342928,327343184,"-"
"AVESA.00003a.r1.1AG00284100",1108.20064179093,-0.318752129388363,0.076350456451251,-4.17485558310818,2.9817514735263e-05,0.0138965310971865,"chr1A","AVESA.00003a.r1.1AG00284100.1.CDS8",435895849,435896637,"-"
"AVESA.00003a.r1.1DG00832640",92.9515369689975,0.632126838980186,0.152492816116213,4.14528930004448,3.39384948441925e-05,0.015496272089944,"chr1D","AVESA.00003a.r1.1DG00832640.1.CDS6",416989000,416989167,"-"
"AVESA.00003a.r1.2AG01085380",283.357569531757,0.511904742162805,0.123796760845483,4.13504148789272,3.54890515679433e-05,0.0158906235223869,"chr2A","AVESA.00003a.r1.2AG01085380.1.CDS1",336403239,336403806,"+"
"AVESA.00003a.r1.2AG01159820",28.7763053110739,4.96085378799151,1.28445015208054,3.8622392468528,0.000112352456971732,0.0430806495646914,"chr2A","AVESA.00003a.r1.2AG01159820.1.CDS1",425420453,425421064,"+"
"AVESA.00003a.r1.2AG01163210",56.8361440334784,4.41847686184465,1.01008489256295,4.37436189213106,1.21788196830491e-05,0.006403383503505,"chr2A","AVESA.00003a.r1.2AG01163210.1.CDS1",430979602,430979862,"+"
"AVESA.00003a.r1.2AG01171330",26.8220072173453,3.81305992731004,0.944970104012675,4.03511170471791,5.45763264615346e-05,0.0236745577509707,"chr2A","AVESA.00003a.r1.2AG01171330.1.CDS3",443485975,443486238,"-"
"AVESA.00003a.r1.2AG01174600",62.9477225457482,2.54019578538424,0.647303459254856,3.92427345948125,8.69918761404203e-05,0.0355146892927858,"chr2A","AVESA.00003a.r1.2AG01174600.1.CDS3",447248080,447248410,"-"
"AVESA.00003a.r1.2AG01175520",2373.53946907636,3.33265126380071,0.436728989033466,7.6309366849594,2.33054125363762e-14,3.76154778200492e-11,"chr2A","AVESA.00003a.r1.2AG01175520.1.CDS1",448452290,448452676,"-"
"AVESA.00003a.r1.2AG01178920",8.44001758026827,4.07152853477545,1.04238352041801,3.90597937805338,9.38445153815778e-05,0.0378177561638245,"chr2A","AVESA.00003a.r1.2AG01178920.1.CDS1",454791590,454792489,"-"
"AVESA.00003a.r1.2AG01183110",268.090517245234,2.62253918171575,0.67568632845372,3.88129679598124,0.000103900946927685,0.0405114461776524,"chr2A","AVESA.00003a.r1.2AG01183110.1.CDS1",461931202,461931843,"-"
"AVESA.00003a.r1.2AG01188370",218.8117533647,2.81095143497459,0.696624756556811,4.03510126293559,5.45787536584198e-05,0.0236745577509707,"chr2A","AVESA.00003a.r1.2AG01188370.1.CDS1",467835999,467836466,"+"
"AVESA.00003a.r1.2AG01188410",40.6851823318847,2.41242003258266,0.531918684002258,4.53531734292759,5.75169373540167e-06,0.00341183590015455,"chr2A","AVESA.00003a.r1.2AG01188410.1.CDS1",467850660,467851007,"+"
"AVESA.00003a.r1.2AG01195640",6.31586730570464,6.15645149489595,1.37890124765138,4.46475155880957,8.01617144031277e-06,0.00441544719422244,"chr2A","AVESA.00003a.r1.2AG01195640.1.CDS1",475292687,475293532,"+"
"AVESA.00003a.r1.2CG01222000",105.851572244979,-1.94939527992343,0.179551748811984,-10.8570108217922,1.8469624524882e-27,6.74656500473887e-24,"chr2C","AVESA.00003a.r1.2CG01222000.1.CDS6",37175820,37176139,"-"
"AVESA.00003a.r1.2CG01226850",71.5659964626893,1.08818318414872,0.258245929511118,4.21374767148798,2.51167880069612e-05,0.0122759185777967,"chr2C","AVESA.00003a.r1.2CG01226850.1.CDS2",52065031,52065373,"-"
"AVESA.00003a.r1.2CG01425950",85.3699950412959,0.959632740210336,0.222683839823874,4.30939551325022,1.63701377597536e-05,0.00835394610985426,"chr2C","AVESA.00003a.r1.2CG01425950.1.CDS1",484560601,484560702,"+"
"AVESA.00003a.r1.2DG01663900",15.8032715985749,-7.42290336676338,0.988012857216893,-7.51296231880297,5.78041700946758e-14,8.72126699365388e-11,"chr2D","AVESA.00003a.r1.2DG01663900.1.CDS1",258909783,258910178,"+"
"AVESA.00003a.r1.2DG01793080",2393.13231907398,0.326009982876438,0.0725185310732619,4.49554035432801,6.93934954350903e-06,0.00398026178816659,"chr2D","AVESA.00003a.r1.2DG01793080.1.CDS8",501688893,501689075,"-"
"AVESA.00003a.r1.3CG02266880",62.2060720711517,-1.95498394700385,0.266903677856974,-7.32467968482427,2.39470003747691e-13,3.3918238102247e-10,"chr3C","AVESA.00003a.r1.3CG02266880.1.CDS4",467544614,467544724,"-"
