"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.2AG01159820",28.7763053110739,4.96085378799151,1.28445015208054,3.8622392468528,0.000112352456971732,0.0430806495646914,"chr2A","AVESA.00003a.r1.2AG01159820.1.CDS1",425420453,425421064,"+"
"AVESA.00003a.r1.2AG01163210",56.8361440334784,4.41847686184465,1.01008489256295,4.37436189213106,1.21788196830491e-05,0.006403383503505,"chr2A","AVESA.00003a.r1.2AG01163210.1.CDS1",430979602,430979862,"+"
"AVESA.00003a.r1.2AG01171330",26.8220072173453,3.81305992731004,0.944970104012675,4.03511170471791,5.45763264615346e-05,0.0236745577509707,"chr2A","AVESA.00003a.r1.2AG01171330.1.CDS3",443485975,443486238,"-"
"AVESA.00003a.r1.2AG01174600",62.9477225457482,2.54019578538424,0.647303459254856,3.92427345948125,8.69918761404203e-05,0.0355146892927858,"chr2A","AVESA.00003a.r1.2AG01174600.1.CDS3",447248080,447248410,"-"
"AVESA.00003a.r1.2AG01175520",2373.53946907636,3.33265126380071,0.436728989033466,7.6309366849594,2.33054125363762e-14,3.76154778200492e-11,"chr2A","AVESA.00003a.r1.2AG01175520.1.CDS1",448452290,448452676,"-"
"AVESA.00003a.r1.2AG01178920",8.44001758026827,4.07152853477545,1.04238352041801,3.90597937805338,9.38445153815778e-05,0.0378177561638245,"chr2A","AVESA.00003a.r1.2AG01178920.1.CDS1",454791590,454792489,"-"
"AVESA.00003a.r1.2AG01183110",268.090517245234,2.62253918171575,0.67568632845372,3.88129679598124,0.000103900946927685,0.0405114461776524,"chr2A","AVESA.00003a.r1.2AG01183110.1.CDS1",461931202,461931843,"-"
"AVESA.00003a.r1.2AG01188370",218.8117533647,2.81095143497459,0.696624756556811,4.03510126293559,5.45787536584198e-05,0.0236745577509707,"chr2A","AVESA.00003a.r1.2AG01188370.1.CDS1",467835999,467836466,"+"
"AVESA.00003a.r1.2AG01188410",40.6851823318847,2.41242003258266,0.531918684002258,4.53531734292759,5.75169373540167e-06,0.00341183590015455,"chr2A","AVESA.00003a.r1.2AG01188410.1.CDS1",467850660,467851007,"+"
"AVESA.00003a.r1.2AG01195640",6.31586730570464,6.15645149489595,1.37890124765138,4.46475155880957,8.01617144031277e-06,0.00441544719422244,"chr2A","AVESA.00003a.r1.2AG01195640.1.CDS1",475292687,475293532,"+"
