"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00005230",374.784217432885,-0.112769835442206,0.137256712121867,21.0120765464835,0.000314928065586892,0.0295387236935813,"chr1A","AVESA.00003a.r1.1AG00005230.1.CDS1",7490378,7490533,"+"
"AVESA.00003a.r1.1AG00007430",2133.58472456969,0.443461370119416,0.137045737037174,19.0229356981397,0.00077783120942158,0.0492284774632627,"chr1A","AVESA.00003a.r1.1AG00007430.1.CDS14",9989367,9989369,"-"
"AVESA.00003a.r1.1AG00016820",443.974228888637,-0.449316266333248,0.126623409987406,18.9602987434739,0.000800185933907027,0.0498582383727304,"chr1A","AVESA.00003a.r1.1AG00016820.1.CDS8",23973061,23973078,"-"
"AVESA.00003a.r1.1AG00021590",281.341052721091,-0.357703122112884,0.151740737609463,19.8578472493404,0.000532722021060212,0.0400101590291628,"chr1A","AVESA.00003a.r1.1AG00021590.1.CDS1",31558000,31558002,"+"
"AVESA.00003a.r1.1AG00120990",1636.20140013481,-0.00116729973239313,0.247874955806622,20.6497606144048,0.000371531017464546,0.0324224141888521,"chr1A","AVESA.00003a.r1.1AG00120990.1.CDS4",225668905,225668961,"-"
"AVESA.00003a.r1.1AG00147330",2099.56777912726,-0.109571324534432,0.106481846269886,20.3867190303101,0.000418832779019163,0.035056417727277,"chr1A","AVESA.00003a.r1.1AG00147330.1.CDS18",265931298,265931394,"-"
"AVESA.00003a.r1.1AG00180660",463.688999541455,-0.0115212021180281,0.270494481790585,25.3357732739925,4.30633790165709e-05,0.00796880046163268,"chr1A","AVESA.00003a.r1.1AG00180660.1.CDS1",314664566,314664828,"+"
"AVESA.00003a.r1.1AG00207460",2882.43393530462,0.561781422519124,0.0984585236169106,62.4716812897208,8.76568319481483e-13,2.69264256378322e-08,"chr1A","AVESA.00003a.r1.1AG00207460.1.CDS8",350626095,350626250,"-"
"AVESA.00003a.r1.1AG00214680",698.2661077648,-0.523079678398349,0.129467889102039,19.2030936481797,0.00071691956467463,0.04689149236214,"chr1A","AVESA.00003a.r1.1AG00214680.1.CDS6",358897836,358898139,"-"
"AVESA.00003a.r1.1AG00216250",495.129763770981,0.00769216813667445,0.132218278922183,30.0656181144941,4.74617338157304e-06,0.00200444013175552,"chr1A","AVESA.00003a.r1.1AG00216250.1.CDS14",360810141,360810876,"-"
"AVESA.00003a.r1.1AG00229360",749.698433030752,0.00428820673655914,0.111702766385569,19.502847830684,0.000625858836996385,0.0433975886114107,"chr1A","AVESA.00003a.r1.1AG00229360.1.CDS1",373952382,373953066,"+"
"AVESA.00003a.r1.1AG00234550",2174.03632376215,0.389165524775675,0.0943032676404529,19.1180871990379,0.000745048758876677,0.0481399963015188,"chr1A","AVESA.00003a.r1.1AG00234550.1.CDS7",378893745,378893978,"-"
"AVESA.00003a.r1.1AG00254610",1359.56213430477,0.105489543420742,0.0770466972127851,19.6885973338372,0.00057527682771015,0.0418892461681777,"chr1A","AVESA.00003a.r1.1AG00254610.1.CDS16",399705361,399705554,"-"
"AVESA.00003a.r1.1AG00262090",1739.09488514592,0.0450921593211495,0.195065541011401,20.0213701212939,0.000494571468686542,0.0388132529452626,"chr1A","AVESA.00003a.r1.1AG00262090.1.CDS1",407910270,407910671,"+"
"AVESA.00003a.r1.1AG00276040",154.028481144533,-6.82367481388974,1.43798396887349,19.9544403947731,0.000509847975980641,0.0394496476729806,"chr1A","AVESA.00003a.r1.1AG00276040.1.CDS4",423282454,423282895,"-"
"AVESA.00003a.r1.1AG00282810",134.282986377803,0.58486328246634,0.221007097660762,22.7805246562478,0.000140072353220255,0.0179280939425825,"chr1A","AVESA.00003a.r1.1AG00282810.1.CDS1",433910862,433912588,"+"
"AVESA.00003a.r1.1AG00289780",436.077074367377,0.0936778116260536,0.306987575273618,23.263204768872,0.000112180588840695,0.0155223573333715,"chr1A","AVESA.00003a.r1.1AG00289780.1.CDS1",446812199,446812461,"+"
"AVESA.00003a.r1.1AG00302150",376.819000507193,-1.12651614892142,0.359001371183336,29.5406828328476,6.0696454431493e-06,0.00216799265956582,"chr1A","AVESA.00003a.r1.1AG00302150.1.CDS1",468449961,468450164,"-"
"AVESA.00003a.r1.1AG00302160",2130.49357849942,-0.655022155934785,0.268882493036497,20.4909858850916,0.000399408633318155,0.0339862448705459,"chr1A","AVESA.00003a.r1.1AG00302160.1.CDS1",468472196,468472399,"-"
"AVESA.00003a.r1.1AG00307200",928.386177191005,-0.0655120685813233,0.125618104403414,23.363022875344,0.000107140843227211,0.0153076856848999,"chr1A","AVESA.00003a.r1.1AG00307200.1.CDS3",476644371,476644458,"-"
"AVESA.00003a.r1.1AG00312740",2204.17030204517,0.127844534039606,0.275576972211454,20.2796266084506,0.000439757187963262,0.0363130680103642,"chr1A","AVESA.00003a.r1.1AG00312740.1.CDS6",486366627,486367046,"-"
"AVESA.00003a.r1.1AG00314280",5136.03475164418,-0.138804260977939,0.0748401509145932,24.3281662601936,6.86430283747929e-05,0.0107580436000862,"chr1A","AVESA.00003a.r1.1AG00314280.1.CDS5",488736642,488737233,"-"
"AVESA.00003a.r1.1AG00318520",484.825763506974,0.276283826845714,0.189420622914367,32.4476092044829,1.54960238344878e-06,0.00091539780797653,"chr1A","AVESA.00003a.r1.1AG00318520.1.CDS1",496169429,496169498,"+"
"AVESA.00003a.r1.1AG00336550",635.256694924809,-0.205415488542846,0.12951813200896,20.5533842680483,0.000388213861215351,0.0331254260800365,"chr1A","AVESA.00003a.r1.1AG00336550.1.CDS5",521283901,521283973,"-"
"AVESA.00003a.r1.1AG00338250",8930.79615517473,0.669251516864863,0.318967228265725,19.3724888448894,0.000663961045898608,0.0445317803666232,"chr1A","AVESA.00003a.r1.1AG00338250.1.CDS1",523520965,523521757,"+"
"AVESA.00003a.r1.1AG00347130",168.489372151472,-0.125211521968847,0.140981422057115,26.8171710139918,2.16444548722145e-05,0.0055871795358377,"chr1A","AVESA.00003a.r1.1AG00347130.1.CDS1",535435096,535435134,"+"
"AVESA.00003a.r1.1CG00388410",159.377607048481,0.3636442746446,0.236938686782925,19.0200124985334,0.000778860604438625,0.0492284774632627,"chr1C","AVESA.00003a.r1.1CG00388410.1.CDS1",50266684,50266774,"+"
"AVESA.00003a.r1.1CG00389640",228.086788445243,-0.209102201906031,0.201381541756739,31.689796954342,2.21368806155082e-06,0.00123636490681306,"chr1C","AVESA.00003a.r1.1CG00389640.1.CDS13",52693682,52693703,"-"
"AVESA.00003a.r1.1CG00430130",2098.48649343303,-0.067432485441036,0.0670693874823907,20.7547049610129,0.000354172057214648,0.0313328267491018,"chr1C","AVESA.00003a.r1.1CG00430130.1.CDS22",158939823,158940200,"-"
"AVESA.00003a.r1.1CG00510540",218.424585369073,0.214937189870391,0.301289432083665,18.9746736328051,0.000795000110315063,0.0498221925128458,"chr1C","AVESA.00003a.r1.1CG00510540.1.CDS1",339854061,339854383,"+"
"AVESA.00003a.r1.1CG00560020",1388.92072087144,-0.221208461265559,0.0839498147766435,24.7355506459804,5.685943781805e-05,0.00966439278005165,"chr1C","AVESA.00003a.r1.1CG00560020.1.CDS5",436307609,436307671,"-"
"AVESA.00003a.r1.1CG00562350",1186.11666910496,-0.173579382279101,0.113284755780167,19.6340726879923,0.000589689746090856,0.0423226393000442,"chr1C","AVESA.00003a.r1.1CG00562350.1.CDS3",440946661,440947127,"-"
"AVESA.00003a.r1.1CG00565640",878.490773982633,-0.163925823442867,0.1490077837996,21.4130480318082,0.00026220662465204,0.0266710084474851,"chr1C","AVESA.00003a.r1.1CG00565640.1.CDS1",447579347,447579544,"+"
"AVESA.00003a.r1.1CG00569570",486.46228093085,-0.247255773545574,0.159848239814155,19.6861033382544,0.000575928409852913,0.0418892461681777,"chr1C","AVESA.00003a.r1.1CG00569570.1.CDS8",455509171,455509458,"-"
"AVESA.00003a.r1.1DG00580600",1671.66650653139,0.398779386161355,0.108118411595193,23.2664117002594,0.000112015072729828,0.0155223573333715,"chr1D","AVESA.00003a.r1.1DG00580600.1.CDS14",7066200,7066253,"-"
"AVESA.00003a.r1.1DG00585590",543.203636325229,-0.0230333985902699,0.206910019478409,32.2193850730728,1.72540730138949e-06,0.00100002002800156,"chr1D","AVESA.00003a.r1.1DG00585590.1.CDS1",14164532,14166421,"+"
"AVESA.00003a.r1.1DG00600810",442.899934281799,-0.0758144858543115,0.173186590576103,19.1487724689064,0.000734771089218276,0.0478192760987436,"chr1D","AVESA.00003a.r1.1DG00600810.1.CDS3",44084434,44084450,"-"
"AVESA.00003a.r1.1DG00680410",1614.49792668628,0.154173196229822,0.258535823552325,26.0837730457527,3.04372988557396e-05,0.00667873053625751,"chr1D","AVESA.00003a.r1.1DG00680410.1.CDS11",207259962,207260434,"-"
