"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.1AG00124950",114.748900486248,-1.32421509855517,0.334787843970461,22.6502270436642,0.000148715631161588,0.0181481342886202,"chr1A","AVESA.00003a.r1.1AG00124950.1.CDS1",232704102,232704539,"+"
"AVESA.00003a.r1.1AG00276040",156.998803602087,-6.82454498095855,1.42552893721332,20.3207528410901,0.000431601980987737,0.0343583478635483,"chr1A","AVESA.00003a.r1.1AG00276040.1.CDS4",423282454,423282895,"-"
"AVESA.00003a.r1.1AG00302150",382.440567061448,-1.12678675262448,0.346420335956027,32.2625429913586,1.69070330321946e-06,0.00101814993845266,"chr1A","AVESA.00003a.r1.1AG00302150.1.CDS1",468449961,468450164,"-"
"AVESA.00003a.r1.1CG00382350",102.014651875986,-4.46695875580364,0.881031453429824,31.5294722304724,2.38703517257802e-06,0.00121104626248167,"chr1C","AVESA.00003a.r1.1CG00382350.1.CDS2",38170842,38170977,"-"
"AVESA.00003a.r1.2AG01022580",36370.3734235935,-1.85784757195258,0.391512664289297,55.1462533792533,3.02761742909113e-11,2.57286929124164e-07,"chr2A","AVESA.00003a.r1.2AG01022580.1.CDS5",242766882,242767032,"-"
"AVESA.00003a.r1.2AG01040800",113.682571220151,-1.59074605898486,0.421690456783764,36.3164561859387,2.4907897945879e-07,0.000261157966566545,"chr2A","AVESA.00003a.r1.2AG01040800.1.CDS5",270438471,270438586,"-"
"AVESA.00003a.r1.2AG01090080",366.099902130428,-3.57191482285266,0.766189036336703,23.6544169946631,9.36786810038738e-05,0.0131042210892332,"chr2A","AVESA.00003a.r1.2AG01090080.1.CDS2",342674630,342675050,"-"
"AVESA.00003a.r1.2CG01220540",136.219065469395,-3.86272482700925,0.804721796762144,22.1230461374888,0.000189427802690164,0.0212945128579001,"chr2C","AVESA.00003a.r1.2CG01220540.1.CDS6",34176083,34176226,"-"
"AVESA.00003a.r1.2CG01257020",1779.63692670852,1.13777491224738,0.35754883414252,35.9562313415961,2.95431404041561e-07,0.000278952896838354,"chr2C","AVESA.00003a.r1.2CG01257020.1.CDS1",121984104,121984161,"+"
"AVESA.00003a.r1.2CG01359980",5642.47111170175,-2.23948752841147,0.541301177749509,34.9749697129572,4.70066883257161e-07,0.000371593337108777,"chr2C","AVESA.00003a.r1.2CG01359980.1.CDS5",358243051,358243201,"-"
"AVESA.00003a.r1.2CG01422110",595.697517688318,-1.72352017279123,0.449111972053633,22.9870060842762,0.000127385289365851,0.016329567788844,"chr2C","AVESA.00003a.r1.2CG01422110.1.CDS3",477554937,477554942,"-"
"AVESA.00003a.r1.2DG01493930",356.507543405278,-1.09768780420513,0.286642801734809,36.5469945540805,2.23296283244765e-07,0.000261157966566545,"chr2D","AVESA.00003a.r1.2DG01493930.1.CDS1",24381429,24382166,"+"
