"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND"
"AVESA.00003a.r1.2CG01222000",105.851572244979,-1.94939527992343,0.179551748811984,-10.8570108217922,1.8469624524882e-27,6.74656500473887e-24,"chr2C","AVESA.00003a.r1.2CG01222000.1.CDS6",37175820,37176139,"-"
"AVESA.00003a.r1.2DG01663900",15.8032715985749,-7.42290336676338,0.988012857216893,-7.51296231880297,5.78041700946758e-14,8.72126699365388e-11,"chr2D","AVESA.00003a.r1.2DG01663900.1.CDS1",258909783,258910178,"+"
"AVESA.00003a.r1.3CG02266880",62.2060720711517,-1.95498394700385,0.266903677856974,-7.32467968482427,2.39470003747691e-13,3.3918238102247e-10,"chr3C","AVESA.00003a.r1.3CG02266880.1.CDS4",467544614,467544724,"-"
"AVESA.00003a.r1.4AG02859990",22.0255740884286,-4.81827094332488,1.21622377897533,-3.96166480759346,7.44289802024423e-05,0.0314975275182323,"chr4A","AVESA.00003a.r1.4AG02859990.1.CDS3",345916663,345916756,"-"
"AVESA.00003a.r1.4AG02934360",200.46931071914,-1.03375093088805,0.188809848729337,-5.47509008584587,4.37289093013103e-08,3.65652709908294e-05,"chr4A","AVESA.00003a.r1.4AG02934360.1.CDS4",436480883,436480980,"-"
"AVESA.00003a.r1.4CG02992220",24.49672780669,-2.68245231022676,0.392300156406671,-6.83775488339608,8.04438816636749e-12,1.03389754057482e-08,"chr4C","AVESA.00003a.r1.4CG02992220.1.CDS1",5143583,5145931,"+"
"AVESA.00003a.r1.4CG02996530",56.1860883906469,-1.37507566409671,0.266095490197838,-5.16760228846555,2.37116202129547e-07,0.000182850841959966,"chr4C","AVESA.00003a.r1.4CG02996530.1.CDS2",10087283,10087765,"-"
"AVESA.00003a.r1.4CG03000540",982.944813783237,-1.08078533859658,0.221435868582558,-4.88080519888144,1.05653566759029e-06,0.000718889656252634,"chr4C","AVESA.00003a.r1.4CG03000540.1.CDS1",14500296,14500426,"+"
"AVESA.00003a.r1.4CG03000670",1122.52286218773,-1.92298173621849,0.163267559707346,-11.7781005587724,5.06209409856613e-32,3.19385924293441e-28,"chr4C","AVESA.00003a.r1.4CG03000670.1.CDS1",14578979,14580445,"-"
"AVESA.00003a.r1.4CG03000790",54.7431623650008,-2.87807327461391,0.559103600253348,-5.14765648675802,2.63760942387127e-07,0.000198976094396671,"chr4C","AVESA.00003a.r1.4CG03000790.1.CDS1",14624323,14625834,"+"
"AVESA.00003a.r1.4CG03001360",37.067710866704,-3.03902509464061,0.62773273015151,-4.84127232605365,1.29010428382789e-06,0.000844689694438744,"chr4C","AVESA.00003a.r1.4CG03001360.1.CDS3",15136646,15136651,"-"
"AVESA.00003a.r1.4CG03001390",3.04512037130969,-5.05585916374876,1.10992684119002,-4.55512829866161,5.23536144932639e-06,0.00313232578161724,"chr4C","AVESA.00003a.r1.4CG03001390.1.CDS10",15167742,15167903,"-"
"AVESA.00003a.r1.4CG03116320",71.0583020060817,-3.39886747194684,0.860149930826376,-3.95148258476453,7.76685251261345e-05,0.032370113922666,"chr4C","AVESA.00003a.r1.4CG03116320.1.CDS2",186510212,186511125,"-"
"AVESA.00003a.r1.4DG03464700",50.8240939404195,-1.36576322138129,0.251495201214961,-5.43057368404389,5.61731797345881e-08,4.64117522990431e-05,"chr4D","AVESA.00003a.r1.4DG03464700.1.CDS11",191681201,191681369,"-"
"AVESA.00003a.r1.5CG03990820",26.596109090539,-1.2904191997334,0.273027590958793,-4.7263325849297,2.28611104934081e-06,0.0014293960824991,"chr5C","AVESA.00003a.r1.5CG03990820.1.CDS5",37929992,37930019,"-"
"AVESA.00003a.r1.5DG04419670",8.78743185002916,-5.9854130980821,1.20099194651002,-4.98372459155549,6.23718402068914e-07,0.00044171355366111,"chr5D","AVESA.00003a.r1.5DG04419670.1.CDS1",233824905,233825098,"+"
